2101.0943,,,,,,,,,
Table 1 ,,,,,,,,,
Optical Photometric Data,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Date,JD ^a,Phase ^b,B,V,g,r,i,z,Telescope ^c
,,(Days),(mag),(mag),(mag),(mag),(mag),(mag),
2015-07-23,226.8,-3.47,17.12 +or- 0.06,16.38 +or- 0.01,16.74 +or- 0.02,16.17 +or- 0.02,16.03 +or- 0.03,,1
2015-07-23,226.8,-3.47,17.07 +or- 0.03,16.32 +or- 0.01,16.70 +or- 0.03,16.07 +or- 0.02,16.02 +or- 0.03,,1
2015-07-26,230.26,-0.01,17.26 +or- 0.05,16.23 +or- 0.02,16.52 +or- 0.02,15.96 +or- 0.01,15.81 +or- 0.02,,1
2015-07-26,230.26,-0.01,17.19 +or- 0.05,16.21 +or- 0.03,16.54 +or- 0.02,16.00 +or- 0.01,15.71 +or- 0.03,,1
2015-07-30,234.04,3.76,17.62 +or- 0.10,16.39 +or- 0.07,16.92 +or- 0.07,16.13 +or- 0.04,16.04 +or- 0.13,,1
2015-07-30,234.04,3.76,17.56 +or- 0.09,16.33 +or- 0.05,16.90 +or- 0.06,16.11 +or- 0.04,15.96 +or- 0.06,,1
2015-08-05,239.84,9.56,18.38 +or- 0.14,16.95 +or- 0.05,17.75 +or- 0.07,16.63 +or- 0.04,16.30 +or- 0.04,,1
2015-08-05,239.85,9.57,18.39 +or- 0.13,16.91 +or- 0.05,17.70 +or- 0.09,16.71 +or- 0.04,16.35 +or- 0.03,,1
2015-08-06,241.52,11.25,18.53 +or- 0.13,17.02 +or- 0.01,17.70 +or- 0.01,16.84 +or- 0.02,16.61 +or- 0.02,16.42 +or- 0.03,2
2015-08-08,243.44,13.16,18.88 +or- 0.15,17.31 +or- 0.04,17.99 +or- 0.05,16.89 +or- 0.04,16.45 +or- 0.03,,1
2015-08-08,243.45,13.17,19.15 +or- 0.19,17.16 +or- 0.03,18.08 +or- 0.06,16.88 +or- 0.03,16.36 +or- 0.03,,1
2015-08-10,245.53,15.25,18.84 +or- 0.11,17.29 +or- 0.01,18.04 +or- 0.01,16.60 +or- 0.01,16.78 +or- 0.01,16.69 +or- 0.06,2
2015-08-11,246.57,16.29,18.90 +or- 0.12,17.35 +or- 0.02,18.18 +or- 0.01,16.81 +or- 0.01,16.86 +or- 0.04,17.09 +or- 0.02,2
2015-08-12,247.35,17.07,18.58 +or- 0.19,17.38 +or- 0.05,18.25 +or- 0.07,16.95 +or- 0.03,16.43 +or- 0.04,,1
2015-08-12,247.35,17.07,18.87 +or- 0.19,17.41 +or- 0.06,18.27 +or- 0.07,16.97 +or- 0.03,16.50 +or- 0.03,,1
2015-08-16,251.15,20.87,19.48 +or- 0.21,17.60 +or- 0.05,cdots,17.24 +or- 0.04,16.67 +or- 0.04,,1
2015-08-16,251.16,20.88,cdots,cdots,cdots,cdots,16.63 +or- 0.04,,1
2015-08-22,256.57,26.29,19.33 +or- 0.25,17.81 +or- 0.08,18.76 +or- 0.10,17.34 +or- 0.06,16.79 +or- 0.05,,1
2015-08-26,260.91,30.63,19.23 +or- 0.20,17.81 +or- 0.07,18.51 +or- 0.08,17.43 +or- 0.05,16.93 +or- 0.05,,1
2015-08-27,262.23,31.95,19.44 +or- 0.26,17.99 +or- 0.09,18.60 +or- 0.13,17.54 +or- 0.08,17.11 +or- 0.06,,1
2015-08-31,265.8,35.52,19.46 +or- 0.22,17.98 +or- 0.12,18.55 +or- 0.13,cdots,17.34 +or- 0.11,,1
2015-09-03,269.34,39.06,cdots,18.07 +or- 0.05,19.01 +or- 0.07,17.86 +or- 0.04,17.26 +or- 0.06,,1
2015-09-03,269.34,39.06,cdots,18.12 +or- 0.07,18.90 +or- 0.06,17.77 +or- 0.04,17.42 +or- 0.05,,1
2015-09-04,269.73,39.45,19.72 +or- 0.15,18.24 +or- 0.05,18.94 +or- 0.06,17.72 +or- 0.04,17.29 +or- 0.04,,1
2015-09-04,269.74,39.46,19.54 +or- 0.11,18.24 +or- 0.05,18.88 +or- 0.07,17.73 +or- 0.05,17.35 +or- 0.04,,1
2015-09-05,271.59,41.31,19.95 +or- 0.05,18.37 +or- 0.10,19.09 +or- 0.01,17.90 +or- 0.01,17.46 +or- 0.06,17.71 +or- 0.09,3
2015-09-08,274.33,44.05,19.32 +or- 0.10,18.27 +or- 0.04,19.04 +or- 0.06,17.86 +or- 0.03,17.39 +or- 0.04,,1
2015-09-08,274.33,44.05,19.60 +or- 0.11,18.18 +or- 0.05,19.14 +or- 0.06,17.78 +or- 0.04,cdots,,1
2015-09-08,274.34,44.06,19.97 +or- 0.16,18.27 +or- 0.05,18.94 +or- 0.06,17.86 +or- 0.05,cdots,,1
2015-09-08,274.37,44.09,19.62 +or- 0.12,cdots,18.99 +or- 0.06,17.70 +or- 0.08,cdots,,1
2015-09-08,274.38,44.1,19.74 +or- 0.14,cdots,18.96 +or- 0.07,17.80 +or- 0.04,cdots,,1
2015-09-08,274.47,44.19,20.00 +or- 0.48,18.00 +or- 0.02,18.73 +or- 0.01,18.03 +or- 0.02,17.60 +or- 0.03,17.76 +or- 0.06,2
2015-09-09,274.52,44.24,19.48 +or- 0.13,cdots,cdots,cdots,17.37 +or- 0.04,,1
2015-09-09,274.53,44.25,19.42 +or- 0.10,cdots,cdots,cdots,cdots,,1
2015-09-17,282.78,52.5,19.71 +or- 0.06,18.43 +or- 0.03,19.07 +or- 0.03,18.01 +or- 0.03,17.57 +or- 0.04,,1
2015-09-17,282.79,52.51,19.77 +or- 0.06,18.37 +or- 0.03,19.18 +or- 0.03,18.01 +or- 0.03,17.49 +or- 0.03,,1
2015-09-25,290.6,60.32,cdots,cdots,cdots,18.25 +or- 0.08,17.49 +or- 0.10,,1
2015-09-25,290.61,60.33,cdots,cdots,cdots,18.10 +or- 0.06,17.71 +or- 0.08,,1
2015-10-04,299.74,69.46,cdots,18.50 +or- 0.14,19.23 +or- 0.12,cdots,cdots,,1
2015-10-04,299.74,69.46,cdots,18.65 +or- 0.13,cdots,cdots,cdots,,1
2015-10-07,302.66,72.38,20.00 +or- 0.07,18.71 +or- 0.03,19.35 +or- 0.03,18.38 +or- 0.03,17.99 +or- 0.02,,1
2015-10-07,302.67,72.39,19.93 +or- 0.06,18.68 +or- 0.03,19.29 +or- 0.03,18.37 +or- 0.03,17.95 +or- 0.02,,1
2015-10-16,311.7,81.42,20.08 +or- 0.08,18.87 +or- 0.04,19.41 +or- 0.04,18.50 +or- 0.03,18.22 +or- 0.03,,1
2015-10-16,311.7,81.42,19.99 +or- 0.09,18.77 +or- 0.04,19.39 +or- 0.04,18.53 +or- 0.03,18.24 +or- 0.03,,1
2015-10-26,321.51,91.23,20.42 +or- 0.31,19.03 +or- 0.15,cdots,18.64 +or- 0.11,18.65 +or- 0.14,,1
2015-10-26,321.52,91.24,20.17 +or- 0.22,19.33 +or- 0.15,cdots,18.81 +or- 0.13,18.37 +or- 0.16,,1
2015-11-03,329.55,99.27,20.64 +or- 0.13,19.30 +or- 0.06,19.75 +or- 0.05,18.94 +or- 0.05,18.49 +or- 0.04,,1
2015-11-03,329.56,99.28,20.58 +or- 0.14,19.31 +or- 0.06,19.89 +or- 0.05,18.93 +or- 0.06,18.51 +or- 0.03,,1
2015-11-04,331.43,101.16,20.58 +or- 0.03,19.20 +or- 0.02,20.08 +or- 0.03,18.89 +or- 0.01,18.28 +or- 0.07,18.12 +or- 0.11,3
2015-11-08,335.34,105.06,20.02 +or- 0.14,19.34 +or- 0.01,19.69 +or- 0.02,19.33 +or- 0.01,18.67 +or- 0.01,18.20 +or- 0.06,2
2015-11-12,338.52,108.24,cdots,cdots,20.06 +or- 0.09,18.95 +or- 0.05,18.61 +or- 0.05,,1
2015-11-12,338.53,108.25,cdots,cdots,19.85 +or- 0.06,18.94 +or- 0.05,18.64 +or- 0.04,,1
2015-11-14,340.53,110.25,20.79 +or- 0.15,19.48 +or- 0.07,19.88 +or- 0.05,19.05 +or- 0.03,18.65 +or- 0.05,,1
2015-11-14,340.53,110.25,20.54 +or- 0.11,19.38 +or- 0.08,19.87 +or- 0.05,19.05 +or- 0.06,18.69 +or- 0.04,,1
2015-11-22,348.6,118.32,cdots,19.44 +or- 0.15,20.24 +or- 0.19,19.03 +or- 0.12,18.68 +or- 0.13,,1
2015-11-22,348.61,118.33,cdots,cdots,19.54 +or- 0.12,19.25 +or- 0.12,18.80 +or- 0.13,,1
2015-11-30,356.54,126.26,20.73 +or- 0.15,19.55 +or- 0.06,20.13 +or- 0.06,19.27 +or- 0.06,18.88 +or- 0.07,,1
2015-11-30,356.55,126.27,20.74 +or- 0.17,19.59 +or- 0.05,20.21 +or- 0.08,19.29 +or- 0.05,18.92 +or- 0.04,,1
2015-12-02,335.34,128.97,20.56 +or- 0.19,19.36 +or- 0.02,20.08 +or- 0.03,19.47 +or- 0.02,18.88 +or- 0.03,18.72 +or- 0.06,2
2015-12-05,359.25,131.91,cdots,19.76 +or- 0.03,20.03 +or- 0.19,19.64 +or- 0.03,19.00 +or- 0.02,18.89 +or- 0.07,2
2015-12-09,362.53,135.25,20.75 +or- 0.24,19.74 +or- 0.11,20.35 +or- 0.09,19.38 +or- 0.07,19.06 +or- 0.07,,1
2015-12-09,365.53,135.25,21.21 +or- 0.26,19.80 +or- 0.10,20.28 +or- 0.08,19.33 +or- 0.06,cdots,,1
2015-12-10,366.53,136.25,20.73 +or- 0.18,19.78 +or- 0.11,20.33 +or- 0.08,19.34 +or- 0.09,19.02 +or- 0.08,,1
2015-12-10,366.54,136.26,21.01 +or- 0.22,19.88 +or- 0.14,20.23 +or- 0.08,cdots,19.22 +or- 0.08,,1
2015-12-19,376.23,145.95,cdots,20.01 +or- 0.02,20.34 +or- 0.03,19.77 +or- 0.02,19.22 +or- 0.03,19.02 +or- 0.07,2
2016-08-08,609.57,379.29,cdots,cdots,cdots,20.88 +or- 0.04,cdots,cdots,2
Notes.,,,,,,,,,
^a JD 2,457,000+.,,,,,,,
^b Phase has been calculated with respect to V _max = 2457230.28.,,,,,,,,,
^c 1: 1 m LCO, 2: 1.82 m Copernico Telescope, 3: 2.56 m Nordic Optical Telescope (NOT).,,,,,,,
