47.2,15.8,0,unfiltered,,6495,ROTSE-IIIc - H.E.S.S. site at Mt. Gamsberg, Namibia,,no
83.7,17,0,unfiltered,,6495,ROTSE-IIIc - H.E.S.S. site at Mt. Gamsberg, Namibia,,no
768.95,18.3,0,unfiltered,,6495,ROTSE-IIIc - H.E.S.S. site at Mt. Gamsberg, Namibia,,no
2157,18.4,0.1,unfiltered,,6497,ROTSE-IIIc - H.E.S.S. site at Mt. Gamsberg, Namibia,,no
3344,19.12,0.11,white_swift,swift,6504,Swift/UVOT,no
4730.5,19.51,0.31,uvw1_swift,swift,6504,Swift/UVOT,no
10489,20.72,0,uvw1_swift,swift,6504,Swift/UVOT,no
4525.5,19.64,0,uvm2_swift,swift,6504,Swift/UVOT,no
4117.5,19.97,0,uvw2_swift,swift,6504,Swift/UVOT,no
1766,19.08,0.24,R,,6528,Watcher 40cm robotic telescope - Boyden Observatory - South Africa,no
2253,18.53,0.24,R,,6528,Watcher 40cm robotic telescope - Boyden Observatory - South Africa,no
2501,19.12,0.3,R,,6528,Watcher 40cm robotic telescope - Boyden Observatory - South Africa,no
2866,18.99,0.26,R,,6528,Watcher 40cm robotic telescope - Boyden Observatory - South Africa,no
3309,19.19,0.24,R,,6528,Watcher 40cm robotic telescope - Boyden Observatory - South Africa,no
29520,21,0,R,,arXiv0907.3449,FORS2,no
