23040,19.3,0,R,,6647,Faulkes Telescope South,no
22320,17.8,0,I,,6647,Faulkes Telescope South,no
150,16.82,0.1,white_swift,swift,6650,Swift/UVOT,no
706,18.8,0,white_swift,swift,6650,Swift/UVOT,no
1810,19.9,0,white_swift,swift,6650,Swift/UVOT,no
5902.5,20.9,0,white_swift,swift,6650,Swift/UVOT,no
330,16.7,0.1,v_swift,swift,6650,Swift/UVOT,no
631,17.5,0,v_swift,swift,6650,Swift/UVOT,no
1038.5,18.3,0,v_swift,swift,6650,Swift/UVOT,no
5599.5,18.7,0,v_swift,swift,6650,Swift/UVOT,no
768.5,18.4,0,b_swift,swift,6650,Swift/UVOT,no
5701.5,20.4,0,b_swift,swift,6650,Swift/UVOT,no
748.5,18.5,0,u_swift,swift,6650,Swift/UVOT,no
5496.5,20.1,0,u_swift,swift,6650,Swift/UVOT,no
648,18.8,0,uvw1_swift,swift,6650,Swift/UVOT,no
3373.5,20.2,0,uvw1_swift,swift,6650,Swift/UVOT,no
3258.5,18.9,0,uvm2_swift,swift,6650,Swift/UVOT,no
790,20.6,0,uvw2_swift,swift,6650,Swift/UVOT,no
3841,18.8,0,uvw2_swift,swift,6650,Swift/UVOT,no
80460,24.3,0,R,,arXiv0907.3449,FORS2,no
