Time(s),Mag,MagErr,Filter,System,Observatory/Telescope,GalExtCorr,Source
140,18.5,0,v_swift,swift,Swift/UVOT ,no,3095
41850,20.9,0,R,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3104
41850,20.3,0,I,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3104
41850,22.3,0,B,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3104
41820,21.4,0,V,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3104
41850,18,0,J,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3104
41820,17.4,0,H,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3104
41850,16.3,0,K,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3104
128460,21.6,0,R,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3110
128460,21.5,0,I,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3110
128535,18.6,0,J,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3110
41760,20.9,0.2,R,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3110
41760,20.3,0,I,Johnson,ANDICAM+1.3m-Telescope-CTIO ,no,3110
42904,21.5,0,B,Landolt,SMARTS,yes,arXiv0712.2186
42904,21.1,0,V,Landolt,SMARTS,yes,arXiv0712.2186
42904,20.9,0.2,Rc,Landolt,SMARTS,yes,arXiv0712.2186
42904,20.7,0.3,Ic,Landolt,SMARTS,yes,arXiv0712.2186
42904,17.4,0,J,Landolt,SMARTS,yes,arXiv0712.2186
42904,17.4,0,H,Landolt,SMARTS,yes,arXiv0712.2186
42904,16.8,0,K,Landolt,SMARTS,yes,arXiv0712.2186
128862,21.1,0,Rc,Landolt,SMARTS,yes,arXiv0712.2186
128862,20,0,Ic,Landolt,SMARTS,yes,arXiv0712.2186
128862,17.5,0,J,Landolt,SMARTS,yes,arXiv0712.2186
216575,19.6,0,J,Landolt,SMARTS,yes,arXiv0712.2186
216575,22,0.1,Rc,Landolt,SMARTS,yes,arXiv0712.2186
