time, mag, err,band,source,time,
6174.79 SOD Dec 19 {01:42:54.79} UT,,,,,,
01:44:11.6 5s exp,17.2,0, unfiltered, gcn2867,76.81,
01h49m18 UT,15.5,0, K, gcn2870,383.21,
      t_burst,       mag, err, ,,,
      0.8 h,14.9,0,Ks,gcn2876,2880,
      1.55 h,15.5,0,Ks,gcn2876,5580,
,,,,,,
01:58:00 UT (1 day after the burst),16.5,0,Ks,gcn2884,87305.21,
Dec 20 04:57 UT,21,0.3,z,gcn2885,98045.21,
Dec 19 1:44 UT to 1:52 UT,19.4,0,R,gcn2889,305.21,
Dec 19 01:45:30 to 01:54:05 UT,18.5,0, gcn2905,,412.71,01:49:47.50
01.05 UT 47.25 hours after the burst - texp 20,19.9,0.2,J,gcn2916,170100,
01.05 UT 47.25 hours after the burst - texp 40,18.9,0.1,H,gcn2916,170100,
01.05 UT 47.25 hours after the burst - texp 40,17.6,0.2,Ks,gcn2916,170100,
