,Date,JD,^a,Phase,^b,B,,,,
0,2015-07-23,.226..8.,.-3..47.,.17..12.,,,,,,.0..06.
1,2015-07-23,.226..8.,.-3..47.,.17..07.,,,,,,.0..03.
2,2015-07-26,.230..26.,.-0..01.,.17..26.,,,,,,.0..05.
3,2015-07-26,.230..26.,.-0..01.,.17..19.,,,,,,.0..05.
4,2015-07-30,.234..04.,.3..76.,.17..62.,,,,,,.0..1.
5,2015-07-30,.234..04.,.3..76.,.17..56.,,,,,,.0..09.
6,2015-08-05,.239..84.,.9..56.,.18..38.,,,,,,.0..14.
7,2015-08-05,.239..85.,.9..57.,.18..39.,,,,,,.0..13.
8,2015-08-06,.241..52.,.11..25.,.18..53.,,,,,,.0..13.
9,2015-08-08,.243..44.,.13..16.,.18..88.,,,,,,.0..15.
10,2015-08-08,.243..45.,.13..17.,.19..15.,,,,,,.0..19.
11,2015-08-10,.245..53.,.15..25.,.18..84.,,,,,,.0..11.
12,2015-08-11,.246..57.,.16..29.,.18..9.,,,,,,.0..12.
13,2015-08-12,.247..35.,.17..07.,.18..58.,,,,,,.0..19.
14,2015-08-12,.247..35.,.17..07.,.18..87.,,,,,,.0..19.
15,2015-08-16,.251..15.,.20..87.,.19..48.,,,,,,.0..21.
16,2015-08-16,.251..16.,.20..88.,cdts,,,,,,
17,2015-08-22,.256..57.,.26..29.,.19..33.,,,,,,.0..25.
18,2015-08-26,.260..91.,.30..63.,.19..23.,,,,,,.0..2.
19,2015-08-27,.262..23.,.31..95.,.19..44.,,,,,,.0..26.
20,2015-08-31,.265..8.,.35..52.,.19..46.,,,,,,.0..22.
21,2015-09-03,.269..34.,.39..06.,cdts,,,,,,
22,2015-09-03,.269..34.,.39..06.,cdts,,,,,,
23,2015-09-04,.269..73.,.39..45.,.19..72.,,,,,,.0..15.
24,2015-09-04,.269..74.,.39..46.,.19..54.,,,,,,.0..11.
25,2015-09-05,.271..59.,.41..31.,.19..95.,,,,,,.0..05.
26,2015-09-08,.274..33.,.44..05.,.19..32.,,,,,,.0..1.
27,2015-09-08,.274..33.,.44..05.,.19..6.,,,,,,.0..11.
28,2015-09-08,.274..34.,.44..06.,.19..97.,,,,,,.0..16.
29,2015-09-08,.274..37.,.44..09.,.19..62.,,,,,,.0..12.
30,2015-09-08,.274..38.,.44..1.,.19..74.,,,,,,.0..14.
31,2015-09-08,.274..47.,.44..19.,20,,,,,,.0..48.
32,2015-09-09,.274..52.,.44..24.,.19..48.,,,,,,.0..13.
33,2015-09-09,.274..53.,.44..25.,.19..42.,,,,,,.0..1.
34,2015-09-17,.282..78.,.52..5.,.19..71.,,,,,,.0..06.
35,2015-09-17,.282..79.,.52..51.,.19..77.,,,,,,.0..06.
36,2015-09-25,.290..6.,.60..32.,cdts,,,,,,
37,2015-09-25,.290..61.,.60..33.,cdts,,,,,,
38,2015-10-04,.299..74.,.69..46.,cdts,,,,,,
39,2015-10-04,.299..74.,.69..46.,cdts,,,,,,
40,2015-10-07,.302..66.,.72..38.,20,,,,,,.0..07.
41,2015-10-07,.302..67.,.72..39.,.19..93.,,,,,,.0..06.
42,2015-10-16,.311..7.,.81..42.,.20..08.,,,,,,.0..08.
43,2015-10-16,.311..7.,.81..42.,.19..99.,,,,,,.0..09.
44,2015-10-26,.321..51.,.91..23.,.20..42.,,,,,,.0..31.
45,2015-10-26,.321..52.,.91..24.,.20..17.,,,,,,.0..22.
46,2015-11-03,.329..55.,.99..27.,.20..64.,,,,,,.0..13.
47,2015-11-03,.329..56.,.99..28.,.20..58.,,,,,,.0..14.
48,2015-11-04,.331..43.,.101..16.,.20..58.,,,,,,.0..03.
49,2015-11-08,.335..34.,.105..06.,.20..02.,,,,,,.0..14.
50,2015-11-12,.338..52.,.108..24.,cdts,,,,,,
51,2015-11-12,.338..53.,.108..25.,cdts,,,,,,
52,2015-11-14,.340..53.,.110..25.,.20..79.,,,,,,.0..15.
53,2015-11-14,.340..53.,.110..25.,.20..54.,,,,,,.0..11.
54,2015-11-22,.348..6.,.118..32.,cdts,,,,,,
55,2015-11-22,.348..61.,.118..33.,cdts,,,,,,
56,2015-11-30,.356..54.,.126..26.,.20..73.,,,,,,.0..15.
57,2015-11-30,.356..55.,.126..27.,.20..74.,,,,,,.0..17.
58,2015-12-02,.335..34.,.128..97.,.20..56.,,,,,,.0..19.
59,2015-12-05,.359..25.,.131..91.,cdts,,,,,,
60,2015-12-09,.362..53.,.135..25.,.20..75.,,,,,,.0..24.
61,2015-12-09,.365..53.,.135..25.,.21..21.,,,,,,.0..26.
62,2015-12-10,.366..53.,.136..25.,.20..73.,,,,,,.0..18.
63,2015-12-10,.366..54.,.136..26.,.21..01.,,,,,,.0..22.
64,2015-12-19,.376..23.,.145..95.,cdts,,,,,,
65,2016-08-08,.609..57.,.379..29.,cdts,,,,,,
