time_not converted,gcn,band,mag,mag_err,time
.26969..00 SOD {07:29:29..00} UT,   453..4 [sec] since BAT Trigger Time.,17314,r,.19..21.,.0..07.,26969
,,,,,
.TSTART:0..20162 TMID:12:12:15 EXP:5760..0.,17331,g',.19..6.,,.20299..968.
.TSTART:0..20162 TMID:12:12:15 EXP:5760..0.,17331,Rc,.19..6.,,.20299..968.
.TSTART:0..20162 TMID:12:12:15 EXP:5760..0.,17331,Ic,.19..1.,,.20299..968.
.01:25 UT on 21..01..2015,18hrs after the GRB trigger.,17336,g',.24..2.,0,
.01:25 UT on 21..01..2015,18hrs after the GRB trigger.,17336,r',.23..6.,.0..1.,
.01:25 UT on 21..01..2015,18hrs after the GRB trigger.,17336,i',.22..7.,.0..2.,
.01:25 UT on 21..01..2015,18hrs after the GRB trigger.,17336,z',.22..4.,.0..4.,
.01:25 UT on 21..01..2015,18hrs after the GRB trigger.,17336,J,.20..2.,.0..3.,
.01:25 UT on 21..01..2015,18hrs after the GRB trigger.,17336,H,.19..9.,.0..5.,
.01:25 UT on 21..01..2015,18hrs after the GRB trigger.,17336,K,.18..7.,.0..4.,
13:34:44 UT on 2015-01-20,17337,R_c,.21..7.,.0..1.,
,,,,,
T_start(s)   T_stop(s) Exp(s),gcn,Band,Mag,err,
432          582          147,17338,white_FC,.19..9.,0,507
432         1014          295,17338,white,.20..5.,0,723
7279         7479          197,17338,white,.20..7.,0,7379
6254        19560         1278,17338,v,.20..1.,0,13042
7074        25878          979,17338,b,.20..9.,0,16476
6869        25353         1999,17338,u,21,0,16111
639         2670          214,17338,w1,.19..6.,0,.1654..5.
6664        24440         2164,17338,w1,21,0,15552
6459        20294         1996,17338,m2,21,0,.13376..5.
1885         3036          124,17338,w2,.19..5.,0,.2460..5.
7484        18646         1082,17338,w2,.20..8.,0,13065
,,,,,
.2015-01-20, 10:56:50 (UT), about 3..58 hours .,17339,R,.21..3.,.0..2.,12888
.2015/01 21..09 to 2015/01 21..29 UTC 3..91 hours exposure.,17343,r,.23..4.,.0..2.,25056
.2015/01 21..09 to 2015/01 21..29 UTC 3..91 hours exposure.,17343,i,.22..6.,.0..1.,25056
.2015/01 21..09 to 2015/01 21..29 UTC 3..91 hours exposure.,17343,z,.20..72.,0,25056
,,,,,
.Date       UT start   t-T0     Filter   Exp..    OT    Err...,,,,,
                       (mid days)       (s) ,,,,,
.2015-01-20 11:42:02   0..20149.,17347,R,.21..25.,.0..22.,.17408..736.
.2015-01-20 12:42:04   0..24348.,17347,R,.21..43.,.0..25.,.21036..672.
.2015-01-20  10:52:51  0..18068.,17366,none,.20..75.,.0..2.,.15610..752.
